iteracion,estado,observacion,tweet
534,Neutral,palabra neutra,"La verdad, muy tiempo todo"
535,Neutral,palabra neutra,Qué tal vez es la vida
536,Neutral,palabra negativa,Nunca habia visto algo tan aburrido
537,Neutral,palabra positiva,Algo extraordinario ha pasado hoy
538,Negativo,palabra positiva,Me parece hermoso lo que vi
539,Neutral,palabra positiva,Siempre pasa algo feliz
540,Neutral,palabra neutra,Nunca habia visto algo tan dice
541,Neutral,palabra neutra,La situación se ve después
542,Neutral,palabra neutra,Hoy me siento dice
543,Neutral,palabra neutra,Hoy me siento algunas
544,Neutral,palabra positiva,Qué emocionante es la vida
545,Neutral,palabra neutra,"La verdad, muy tal vez todo"
546,Neutral,palabra neutra,Definitivamente es nunca
547,Neutral,palabra neutra,Nunca habia visto algo tan parece
548,Neutral,palabra neutra,Qué momento es la vida
549,Neutral,palabra neutra,Todo está muy hoy ultimamente
550,Positivo,palabra positiva,Qué día más brillante
551,Neutral,palabra negativa,"La verdad, muy molesto todo"
552,Neutral,palabra neutra,Definitivamente es entonces
553,Negativo,palabra positiva,Siempre pasa algo extraordinario
554,Negativo,palabra negativa,Definitivamente es odio
555,Negativo,palabra negativa,"La verdad, muy peor todo"
556,Neutral,palabra neutra,Siempre pasa algo mañana
557,Positivo,palabra positiva,Me parece emocionante lo que vi
558,Positivo,palabra positiva,Todo está muy increíble ultimamente
559,Neutral,palabra neutra,No puedo creer lo quizás
560,Neutral,palabra neutra,Todo está muy hoy ultimamente
561,Neutral,palabra negativa,Algo pésimo ha pasado hoy
562,Positivo,palabra positiva,Me parece alegre lo que vi
563,Positivo,palabra neutra,Qué ahora es la vida
564,Positivo,palabra neutra,Todo está muy hoy ultimamente
565,Positivo,palabra positiva,Esto es realmente admirable
566,Positivo,palabra positiva,Definitivamente es brillante
567,Positivo,palabra positiva,Todo está muy sensacional ultimamente
568,Positivo,palabra positiva,Qué día más excelente
569,Neutral,palabra positiva,Qué momento tan perfecto
570,Neutral,palabra positiva,Qué día más maravilloso
571,Neutral,palabra neutra,Qué día más ahora
572,Positivo,palabra positiva,No puedo creer lo magnífico
573,Positivo,palabra positiva,Nunca habia visto algo tan feliz
574,Positivo,palabra negativa,Esto es realmente pésimo
575,Negativo,palabra positiva,Todo está muy estupendo ultimamente
576,Negativo,palabra negativa,Hoy me siento asqueroso
577,Negativo,palabra neutra,Todo está muy tiempo ultimamente
578,Negativo,palabra negativa,La situación se ve insufrible
579,Negativo,palabra negativa,Me parece fatal lo que vi
580,Negativo,palabra negativa,La situación se ve horroroso
581,Negativo,palabra positiva,Hoy me siento fabuloso
582,Negativo,palabra negativa,Definitivamente es triste
583,Negativo,palabra neutra,Esto es realmente lugar
584,Neutral,palabra neutra,Qué momento tan ayer
585,Positivo,palabra positiva,Hoy me siento fabuloso
586,Neutral,palabra neutra,Todo está muy forma ultimamente
587,Positivo,palabra neutra,Qué siempre es la vida
588,Positivo,palabra neutra,No puedo creer lo tiempo
589,Neutral,palabra positiva,Qué espectacular es la vida
590,Neutral,palabra neutra,El día está veo
591,Negativo,palabra negativa,"La verdad, muy pesimo todo"
592,Neutral,palabra neutra,Algo gente ha pasado hoy
593,Positivo,palabra negativa,Me parece pesimo lo que vi
594,Negativo,palabra neutra,El día está hoy
595,Neutral,palabra neutra,No puedo creer lo lugar
596,Negativo,palabra negativa,Siempre pasa algo pésimo
597,Negativo,palabra negativa,No puedo creer lo insufrible
598,Positivo,palabra positiva,La situación se ve brillante
599,Neutral,palabra neutra,"La verdad, muy día todo"
600,Positivo,palabra positiva,La situación se ve fantástico
601,Negativo,palabra neutra,Algo ahora ha pasado hoy
602,Negativo,palabra negativa,Nunca habia visto algo tan triste
603,Negativo,palabra negativa,Qué momento tan molesto
604,Negativo,palabra negativa,Nunca habia visto algo tan asqueroso
605,Negativo,palabra neutra,Qué momento tan gente
606,Negativo,palabra negativa,Qué día más horroroso
607,Neutral,palabra neutra,Todo está muy mañana ultimamente
608,Negativo,palabra neutra,Qué nunca es la vida
609,Negativo,palabra negativa,Todo está muy lamentable ultimamente
610,Negativo,palabra negativa,Nunca habia visto algo tan pesimo
611,Negativo,palabra negativa,Me parece horroroso lo que vi
612,Negativo,palabra negativa,Definitivamente es deprimente
613,Negativo,palabra negativa,No puedo creer lo detesto
614,Neutral,palabra neutra,Algo gente ha pasado hoy
615,Neutral,palabra neutra,Qué momento tan siempre
616,Positivo,palabra positiva,Siempre pasa algo perfecto
617,Positivo,palabra positiva,La situación se ve hermoso
618,Negativo,palabra neutra,Qué día más así
619,Negativo,palabra negativa,Algo insufrible ha pasado hoy
620,Neutral,palabra neutra,"La verdad, muy tal vez todo"
621,Neutral,palabra neutra,Todo está muy gente ultimamente
622,Neutral,palabra neutra,Definitivamente es parece
623,Neutral,palabra neutra,Qué momento tan cosa
624,Neutral,palabra positiva,Definitivamente es increíble
625,Neutral,palabra positiva,"La verdad, muy magnífico todo"
626,Neutral,palabra neutra,No puedo creer lo ahora
627,Neutral,palabra positiva,Algo espectacular ha pasado hoy
628,Neutral,palabra positiva,Todo está muy fantástico ultimamente
629,Neutral,palabra neutra,Nunca habia visto algo tan momento
630,Neutral,palabra neutra,Hoy me siento parece
631,Neutral,palabra neutra,El día está siempre
632,Neutral,palabra neutra,Siempre pasa algo después
633,Neutral,palabra negativa,Hoy me siento frustrante
634,Positivo,palabra negativa,Me parece aburrido lo que vi
635,Positivo,palabra positiva,Qué maravilloso es la vida
636,Negativo,palabra negativa,Qué momento tan frustrante
637,Negativo,palabra negativa,Esto es realmente pésimo
638,Negativo,palabra neutra,Qué momento tan parece
639,Neutral,palabra neutra,Qué día más nunca
640,Negativo,palabra negativa,Qué momento tan triste
641,Negativo,palabra negativa,Algo odio ha pasado hoy
642,Neutral,palabra neutra,Qué día más lugar
643,Neutral,palabra neutra,La situación se ve momento
644,Negativo,palabra negativa,Definitivamente es asqueroso
645,Neutral,palabra negativa,La situación se ve detesto
646,Positivo,palabra positiva,Definitivamente es fabuloso
647,Neutral,palabra neutra,Me parece quizás lo que vi
648,Neutral,palabra positiva,Algo maravilloso ha pasado hoy
649,Neutral,palabra positiva,Hoy me siento emocionante
650,Neutral,palabra neutra,"La verdad, muy parece todo"
651,Neutral,palabra neutra,Definitivamente es veces
652,Neutral,palabra neutra,Nunca habia visto algo tan siempre
653,Negativo,palabra neutra,Esto es realmente forma
654,Negativo,palabra negativa,Qué momento tan deprimente
655,Negativo,palabra negativa,Nunca habia visto algo tan peor
656,Negativo,palabra negativa,Definitivamente es peor
657,Neutral,palabra negativa,Algo insufrible ha pasado hoy
658,Neutral,palabra negativa,Siempre pasa algo horrible
659,Neutral,palabra neutra,Esto es realmente hoy
660,Positivo,palabra positiva,No puedo creer lo brillante
661,Neutral,palabra neutra,Hoy me siento tiempo
662,Neutral,palabra neutra,La situación se ve entonces
663,Neutral,palabra neutra,Qué momento tan mañana
664,Neutral,palabra neutra,Qué día más forma
665,Negativo,palabra negativa,Me parece odio lo que vi
666,Neutral,palabra neutra,Me parece dice lo que vi
667,Neutral,palabra neutra,Nunca habia visto algo tan tiempo
668,Positivo,palabra positiva,Todo está muy estupendo ultimamente
669,Neutral,palabra negativa,Esto es realmente triste
670,Positivo,palabra positiva,Qué día más extraordinario
671,Positivo,palabra positiva,Todo está muy excelente ultimamente
672,Neutral,palabra neutra,Qué momento es la vida
673,Neutral,palabra neutra,Siempre pasa algo siempre
674,Neutral,palabra neutra,El día está quizás
675,Neutral,palabra neutra,Definitivamente es siempre
676,Negativo,palabra neutra,Definitivamente es así
677,Positivo,palabra positiva,El día está emocionante
678,Neutral,palabra neutra,Algo quizás ha pasado hoy
679,Neutral,palabra neutra,Nunca habia visto algo tan veo
680,Neutral,palabra neutra,Siempre pasa algo hoy
681,Neutral,palabra neutra,Algo hoy ha pasado hoy
682,Neutral,palabra negativa,Siempre pasa algo deprimente
683,Neutral,palabra negativa,Nunca habia visto algo tan aburridísimo
684,Neutral,palabra positiva,La situación se ve hermoso
685,Negativo,palabra neutra,Algo siempre ha pasado hoy
686,Negativo,palabra negativa,Esto es realmente pésimo
687,Negativo,palabra negativa,Qué día más fatal
688,Neutral,palabra neutra,Siempre pasa algo entonces
689,Positivo,palabra positiva,No puedo creer lo extraordinario
690,Neutral,palabra neutra,Qué momento tan dice
691,Neutral,palabra negativa,La situación se ve pesimo
692,Neutral,palabra neutra,Hoy me siento entonces
693,Negativo,palabra negativa,No puedo creer lo peor
694,Neutral,palabra neutra,El día está algunas
695,Neutral,palabra negativa,Nunca habia visto algo tan deprimente
696,Negativo,palabra negativa,Algo horroroso ha pasado hoy
697,Negativo,palabra negativa,Todo está muy fatal ultimamente
698,Negativo,palabra positiva,Qué día más mejor
699,Positivo,palabra positiva,La situación se ve extraordinario
700,Positivo,palabra positiva,Qué día más sensacional
701,Neutral,palabra neutra,No puedo creer lo hoy
702,Neutral,palabra neutra,Qué hoy es la vida
703,Neutral,palabra neutra,Siempre pasa algo hoy
704,Negativo,palabra negativa,Todo está muy asqueroso ultimamente
705,Negativo,palabra negativa,Esto es realmente terrible
706,Negativo,palabra negativa,Nunca habia visto algo tan pesimo
707,Negativo,palabra positiva,Me parece espectacular lo que vi
708,Negativo,palabra negativa,Definitivamente es insufrible
709,Negativo,palabra positiva,Qué genial es la vida
710,Neutral,palabra neutra,Qué tal vez es la vida
711,Negativo,palabra negativa,Todo está muy molesto ultimamente
712,Neutral,palabra negativa,Qué día más insufrible
713,Neutral,palabra neutra,Me parece nunca lo que vi
714,Negativo,palabra neutra,Qué momento tan dice
715,Neutral,palabra neutra,El día está solo
716,Negativo,palabra negativa,Algo terrible ha pasado hoy
717,Negativo,palabra negativa,Qué momento tan decepcionante
718,Neutral,palabra neutra,"La verdad, muy mañana todo"
719,Neutral,palabra positiva,Me parece mejor lo que vi
720,Neutral,palabra negativa,El día está odio
721,Neutral,palabra neutra,El día está veces
722,Neutral,palabra negativa,El día está decepcionante
723,Neutral,palabra neutra,Hoy me siento algunas
724,Neutral,palabra neutra,Siempre pasa algo tiempo
725,Neutral,palabra neutra,La situación se ve tal vez
726,Positivo,palabra positiva,No puedo creer lo fantástico
727,Positivo,palabra negativa,Me parece insufrible lo que vi
728,Positivo,palabra neutra,Todo está muy tiempo ultimamente
729,Positivo,palabra positiva,Qué momento tan admirable
730,Neutral,palabra neutra,Qué día más lugar
731,Neutral,palabra negativa,Me parece fatal lo que vi
732,Positivo,palabra positiva,Siempre pasa algo estupendo
733,Positivo,palabra positiva,Qué genial es la vida
734,Positivo,palabra positiva,Definitivamente es genial
735,Neutral,palabra negativa,"La verdad, muy horrible todo"
736,Neutral,palabra positiva,Algo espectacular ha pasado hoy
737,Neutral,palabra neutra,"La verdad, muy dice todo"
738,Negativo,palabra neutra,Todo está muy cosa ultimamente
739,Neutral,palabra negativa,Esto es realmente lamentable
740,Negativo,palabra negativa,Esto es realmente fatal
741,Negativo,palabra negativa,Definitivamente es asqueroso
742,Neutral,palabra positiva,Esto es realmente estupendo
743,Negativo,palabra negativa,Todo está muy lamentable ultimamente
744,Neutral,palabra neutra,La situación se ve nunca
745,Positivo,palabra positiva,Todo está muy mejor ultimamente
746,Positivo,palabra neutra,Esto es realmente tiempo
747,Positivo,palabra positiva,Qué momento tan admirable
748,Positivo,palabra positiva,El día está alegre
749,Neutral,palabra neutra,Todo está muy parece ultimamente
750,Neutral,palabra neutra,Algo veces ha pasado hoy
751,Negativo,palabra negativa,Esto es realmente detesto
752,Positivo,palabra positiva,La situación se ve encantador
753,Neutral,palabra neutra,Algo ayer ha pasado hoy
754,Neutral,palabra negativa,"La verdad, muy molesto todo"
755,Neutral,palabra neutra,La situación se ve tiempo
756,Neutral,palabra positiva,Siempre pasa algo sensacional
757,Neutral,palabra positiva,Todo está muy sensacional ultimamente
758,Neutral,palabra neutra,Me parece hoy lo que vi
759,Negativo,palabra negativa,Qué momento tan asqueroso
760,Negativo,palabra negativa,Nunca habia visto algo tan pesimo
761,Neutral,palabra positiva,Esto es realmente feliz
762,Negativo,palabra negativa,La situación se ve horroroso
763,Negativo,palabra negativa,Me parece horroroso lo que vi
764,Negativo,palabra neutra,"La verdad, muy ayer todo"
765,Neutral,palabra neutra,Qué día más veo
766,Positivo,palabra positiva,Esto es realmente mejor
767,Positivo,palabra positiva,El día está fabuloso
768,Neutral,palabra positiva,Siempre pasa algo sensacional
769,Negativo,palabra negativa,Qué día más insufrible
770,Negativo,palabra negativa,Esto es realmente lamentable
771,Negativo,palabra neutra,Siempre pasa algo después
772,Neutral,palabra neutra,"La verdad, muy solo todo"
773,Neutral,palabra positiva,Qué día más hermoso
774,Neutral,palabra positiva,Me parece genial lo que vi
775,Neutral,palabra positiva,"La verdad, muy encantador todo"
776,Neutral,palabra negativa,Siempre pasa algo detesto
777,Neutral,palabra positiva,Esto es realmente maravilloso
778,Neutral,palabra neutra,Nunca habia visto algo tan parece
779,Positivo,palabra positiva,Hoy me siento fantástico
780,Positivo,palabra positiva,Qué mejor es la vida
781,Positivo,palabra neutra,Qué pienso es la vida
782,Positivo,palabra negativa,El día está fatal
783,Positivo,palabra negativa,Todo está muy fatal ultimamente
784,Positivo,palabra neutra,Qué momento tan forma
785,Negativo,palabra negativa,Hoy me siento deprimente
786,Negativo,palabra neutra,Qué momento tan mañana
787,Negativo,palabra negativa,Me parece insufrible lo que vi
788,Negativo,palabra negativa,La situación se ve pesimo
789,Negativo,palabra neutra,Esto es realmente nunca
790,Neutral,palabra neutra,Qué entonces es la vida
791,Negativo,palabra negativa,Todo está muy aburridísimo ultimamente
792,Negativo,palabra negativa,No puedo creer lo lamentable
793,Neutral,palabra neutra,"La verdad, muy momento todo"
794,Negativo,palabra negativa,Qué terrible es la vida
795,Negativo,palabra negativa,Siempre pasa algo detesto
796,Neutral,palabra neutra,Hoy me siento gente
797,Neutral,palabra neutra,No puedo creer lo día
798,Negativo,palabra negativa,Me parece lamentable lo que vi
799,Negativo,palabra negativa,Me parece pésimo lo que vi
800,Positivo,palabra positiva,Nunca habia visto algo tan fantástico
801,Positivo,palabra positiva,Todo está muy maravilloso ultimamente
802,Neutral,palabra positiva,Siempre pasa algo estupendo
803,Neutral,palabra neutra,Siempre pasa algo dice
804,Neutral,palabra neutra,Qué algunas es la vida
805,Positivo,palabra positiva,Todo está muy sensacional ultimamente
806,Negativo,palabra neutra,La situación se ve tal vez
807,Neutral,palabra neutra,Qué día más gente
808,Neutral,palabra negativa,"La verdad, muy pesimo todo"
809,Neutral,palabra neutra,Qué día más mañana
810,Positivo,palabra positiva,Qué momento tan extraordinario
811,Negativo,palabra neutra,Hoy me siento veo
812,Neutral,palabra negativa,Definitivamente es pésimo
813,Neutral,palabra negativa,No puedo creer lo horroroso
814,Neutral,palabra neutra,Algo después ha pasado hoy
815,Neutral,palabra neutra,Qué momento tan quizás
816,Neutral,palabra positiva,El día está fantástico
817,Neutral,palabra negativa,Definitivamente es peor
818,Negativo,palabra neutra,El día está siempre
819,Neutral,palabra negativa,Definitivamente es horroroso
820,Negativo,palabra negativa,La situación se ve fatal
821,Neutral,palabra neutra,La situación se ve hoy
822,Positivo,palabra positiva,Nunca habia visto algo tan maravilloso
823,Positivo,palabra positiva,El día está genial
824,Positivo,palabra positiva,El día está perfecto
825,Positivo,palabra positiva,El día está excelente
826,Positivo,palabra positiva,Nunca habia visto algo tan alegre
827,Positivo,palabra neutra,No puedo creer lo tiempo
828,Positivo,palabra positiva,"La verdad, muy magnífico todo"
829,Positivo,palabra positiva,Definitivamente es extraordinario
830,Positivo,palabra positiva,Qué momento tan encantador
831,Positivo,palabra negativa,La situación se ve frustrante
832,Positivo,palabra positiva,El día está alegre
833,Positivo,palabra positiva,Algo maravilloso ha pasado hoy
834,Positivo,palabra negativa,Esto es realmente molesto
835,Negativo,palabra neutra,Todo está muy veces ultimamente
836,Neutral,palabra neutra,El día está tiempo
837,Neutral,palabra negativa,Esto es realmente terrible
838,Neutral,palabra neutra,Me parece así lo que vi
839,Negativo,palabra negativa,Qué momento tan odio
840,Negativo,palabra negativa,Me parece horrible lo que vi
841,Negativo,palabra negativa,Qué horrible es la vida
842,Neutral,palabra positiva,Qué momento tan emocionante
843,Neutral,palabra neutra,Algo forma ha pasado hoy
844,Positivo,palabra positiva,La situación se ve increíble
845,Positivo,palabra positiva,Qué día más alegre
846,Positivo,palabra positiva,Qué día más emocionante
847,Positivo,palabra neutra,Siempre pasa algo hoy
848,Positivo,palabra positiva,El día está genial
849,Positivo,palabra neutra,La situación se ve momento
850,Negativo,palabra negativa,Algo lamentable ha pasado hoy
851,Neutral,palabra positiva,No puedo creer lo fabuloso
852,Neutral,palabra positiva,Definitivamente es sensacional
853,Neutral,palabra neutra,Hoy me siento ayer
854,Neutral,palabra neutra,"La verdad, muy solo todo"
855,Negativo,palabra negativa,Me parece pesimo lo que vi
856,Positivo,palabra positiva,Hoy me siento estupendo
857,Positivo,palabra positiva,El día está espectacular
858,Neutral,palabra negativa,La situación se ve triste
859,Neutral,palabra positiva,Esto es realmente fantástico
860,Positivo,palabra positiva,Me parece estupendo lo que vi
861,Positivo,palabra negativa,Qué horroroso es la vida
862,Neutral,palabra neutra,Definitivamente es día
863,Neutral,palabra positiva,Siempre pasa algo maravilloso
864,Positivo,palabra negativa,Hoy me siento frustrante
865,Positivo,palabra positiva,No puedo creer lo genial
866,Neutral,palabra negativa,No puedo creer lo fatal
867,Positivo,palabra positiva,Hoy me siento admirable
868,Positivo,palabra positiva,Siempre pasa algo brillante
869,Positivo,palabra positiva,Todo está muy admirable ultimamente
870,Neutral,palabra positiva,Hoy me siento encantador
871,Neutral,palabra positiva,Qué día más genial
872,Negativo,palabra neutra,Qué tal vez es la vida
873,Negativo,palabra neutra,Nunca habia visto algo tan cosa
874,Positivo,palabra positiva,El día está encantador
875,Neutral,palabra neutra,Siempre pasa algo algunas
876,Neutral,palabra positiva,Esto es realmente mejor
877,Neutral,palabra neutra,Algo después ha pasado hoy
878,Neutral,palabra neutra,Esto es realmente veces
879,Neutral,palabra neutra,Nunca habia visto algo tan mañana
880,Negativo,palabra neutra,Siempre pasa algo solo
881,Negativo,palabra negativa,Todo está muy aburridísimo ultimamente
882,Negativo,palabra neutra,Me parece ayer lo que vi
883,Negativo,palabra negativa,Definitivamente es horroroso
884,Neutral,palabra positiva,Esto es realmente excelente
885,Negativo,palabra negativa,No puedo creer lo pésimo
886,Neutral,palabra neutra,Qué momento tan tiempo
887,Positivo,palabra positiva,Me parece magnífico lo que vi
888,Positivo,palabra positiva,No puedo creer lo encantador
889,Positivo,palabra positiva,Nunca habia visto algo tan admirable
890,Neutral,palabra neutra,"La verdad, muy pienso todo"
891,Neutral,palabra neutra,"La verdad, muy mañana todo"
892,Neutral,palabra neutra,No puedo creer lo algunas
893,Neutral,palabra neutra,Qué día más tiempo
894,Neutral,palabra neutra,Nunca habia visto algo tan algunas
895,Neutral,palabra negativa,Qué día más aburrido
896,Neutral,palabra negativa,Siempre pasa algo peor
897,Neutral,palabra neutra,La situación se ve mañana
898,Neutral,palabra negativa,Hoy me siento insufrible
899,Negativo,palabra positiva,Algo fabuloso ha pasado hoy
900,Negativo,palabra neutra,Qué momento tan quizás
901,Negativo,palabra neutra,Definitivamente es dice
902,Negativo,palabra neutra,Algo lugar ha pasado hoy
903,Neutral,palabra negativa,Definitivamente es frustrante
904,Neutral,palabra negativa,Nunca habia visto algo tan aburridísimo
905,Neutral,palabra neutra,Hoy me siento veo
906,Neutral,palabra neutra,"La verdad, muy siempre todo"
907,Negativo,palabra negativa,El día está detesto
908,Negativo,palabra negativa,Qué momento tan horrible
909,Negativo,palabra neutra,Qué veo es la vida
910,Negativo,palabra neutra,Hoy me siento nunca
911,Negativo,palabra negativa,No puedo creer lo insufrible
912,Neutral,palabra neutra,Algo entonces ha pasado hoy
913,Neutral,palabra neutra,Hoy me siento hoy
914,Negativo,palabra negativa,"La verdad, muy deprimente todo"
915,Negativo,palabra negativa,Algo pésimo ha pasado hoy
916,Negativo,palabra negativa,Nunca habia visto algo tan frustrante
917,Negativo,palabra neutra,No puedo creer lo algunas
918,Negativo,palabra neutra,Qué momento tan siempre
919,Positivo,palabra negativa,Todo está muy pésimo ultimamente
920,Neutral,palabra neutra,Qué día más dice
921,Neutral,palabra negativa,Todo está muy insufrible ultimamente
922,Positivo,palabra positiva,No puedo creer lo extraordinario
923,Negativo,palabra negativa,No puedo creer lo peor
924,Neutral,palabra neutra,Siempre pasa algo parece
925,Negativo,palabra negativa,Siempre pasa algo insufrible
926,Negativo,palabra negativa,Nunca habia visto algo tan terrible
927,Negativo,palabra negativa,La situación se ve molesto
928,Negativo,palabra negativa,Definitivamente es aburridísimo
929,Negativo,palabra neutra,Qué cosa es la vida
930,Neutral,palabra neutra,Siempre pasa algo cosa
931,Neutral,palabra neutra,"La verdad, muy forma todo"
932,Neutral,palabra neutra,Definitivamente es gente
933,Positivo,palabra positiva,El día está increíble
934,Neutral,palabra neutra,Esto es realmente gente
935,Positivo,palabra positiva,Qué día más admirable
936,Positivo,palabra positiva,Esto es realmente brillante
937,Positivo,palabra positiva,Nunca habia visto algo tan hermoso
938,Neutral,palabra neutra,Hoy me siento tal vez
939,Positivo,palabra positiva,Siempre pasa algo brillante
940,Positivo,palabra positiva,Todo está muy sensacional ultimamente
941,Neutral,palabra neutra,Todo está muy algunas ultimamente
942,Neutral,palabra negativa,El día está lamentable
943,Positivo,palabra positiva,Siempre pasa algo magnífico
944,Neutral,palabra negativa,Qué momento tan detesto
945,Neutral,palabra neutra,Hoy me siento veces
946,Neutral,palabra neutra,El día está hoy
947,Neutral,palabra neutra,Algo veo ha pasado hoy
948,Positivo,palabra neutra,Me parece ahora lo que vi
949,Positivo,palabra positiva,Qué extraordinario es la vida
950,Neutral,palabra negativa,Esto es realmente horroroso
951,Negativo,palabra neutra,No puedo creer lo veo
952,Negativo,palabra negativa,Siempre pasa algo detesto
953,Neutral,palabra negativa,Hoy me siento deprimente
954,Negativo,palabra negativa,Qué día más insufrible
955,Negativo,palabra neutra,No puedo creer lo forma
956,Negativo,palabra negativa,No puedo creer lo asqueroso
957,Negativo,palabra negativa,"La verdad, muy frustrante todo"
958,Negativo,palabra neutra,Qué gente es la vida
959,Negativo,palabra negativa,Qué horrible es la vida
960,Neutral,palabra positiva,Hoy me siento feliz
961,Neutral,palabra neutra,Todo está muy entonces ultimamente
962,Neutral,palabra neutra,"La verdad, muy siempre todo"
963,Neutral,palabra negativa,No puedo creer lo aburrido
964,Neutral,palabra positiva,Qué momento tan encantador
965,Neutral,palabra neutra,Qué día más entonces
966,Neutral,palabra neutra,Qué siempre es la vida
967,Neutral,palabra neutra,Hoy me siento momento
968,Neutral,palabra positiva,No puedo creer lo fabuloso
969,Negativo,palabra neutra,Esto es realmente lugar
970,Neutral,palabra neutra,Qué día más dice
971,Neutral,palabra neutra,Definitivamente es veo
972,Neutral,palabra neutra,Qué día más entonces
973,Neutral,palabra neutra,No puedo creer lo siempre
974,Neutral,palabra neutra,Nunca habia visto algo tan tal vez
975,Neutral,palabra neutra,Siempre pasa algo siempre
976,Neutral,palabra neutra,Me parece forma lo que vi
977,Positivo,palabra positiva,No puedo creer lo genial
978,Neutral,palabra neutra,El día está pienso
979,Negativo,palabra neutra,Todo está muy quizás ultimamente
980,Negativo,palabra negativa,Todo está muy peor ultimamente
981,Negativo,palabra negativa,Esto es realmente odio
982,Negativo,palabra neutra,Qué día más gente
983,Negativo,palabra negativa,Qué terrible es la vida
984,Positivo,palabra positiva,Nunca habia visto algo tan brillante
985,Positivo,palabra neutra,Me parece así lo que vi
986,Positivo,palabra positiva,No puedo creer lo feliz
987,Positivo,palabra positiva,Qué momento tan magnífico
988,Positivo,palabra positiva,Todo está muy hermoso ultimamente
989,Neutral,palabra neutra,Hoy me siento cosa
990,Negativo,palabra negativa,Qué día más frustrante
991,Negativo,palabra positiva,Siempre pasa algo estupendo
992,Neutral,palabra positiva,Qué día más brillante
993,Positivo,palabra positiva,El día está increíble
994,Neutral,palabra neutra,Nunca habia visto algo tan pienso
995,Negativo,palabra positiva,Todo está muy brillante ultimamente
996,Negativo,palabra negativa,Qué momento tan odio
997,Negativo,palabra positiva,Qué día más genial
998,Neutral,palabra neutra,Qué día más mañana
999,Negativo,palabra negativa,Nunca habia visto algo tan pesimo
1000,Neutral,palabra neutra,El día está así
